image	result	hint
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2055.png	True	The image contains both written labels and captions!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2402.png	True	The image contains letters and text!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/946.png	True	The image contains letters!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1690.png	True	The image contains plenty of text!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2870.png	True	The image contains written labels.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1111.png	True	The image contains written labels.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2238.png	True	The image contains written labels.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/3299.png	True	The image contains written labels.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1824.png	False	The image does not contain any text.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/51.png	False	The image does not contain any text.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/866.png	False	The image does not contain any text.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1979.png	False	The image does not contain any text.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1892.png	False	The image does not contain any text.
